,anio,mes,alcaldia,numero_denuncias
0,2016,Enero,ALVARO OBREGON,86
1,2016,Febrero,ALVARO OBREGON,110
2,2016,Marzo,ALVARO OBREGON,89
3,2016,Abril,ALVARO OBREGON,110
4,2016,Mayo,ALVARO OBREGON,135
5,2016,Junio,ALVARO OBREGON,134
6,2016,Julio,ALVARO OBREGON,118
7,2016,Agosto,ALVARO OBREGON,126
8,2016,Septiembre,ALVARO OBREGON,121
9,2016,Octubre,ALVARO OBREGON,105
10,2016,Noviembre,ALVARO OBREGON,88
11,2016,Diciembre,ALVARO OBREGON,108
12,2017,Enero,ALVARO OBREGON,99
13,2017,Febrero,ALVARO OBREGON,81
14,2017,Marzo,ALVARO OBREGON,110
15,2017,Abril,ALVARO OBREGON,95
16,2017,Mayo,ALVARO OBREGON,110
17,2017,Junio,ALVARO OBREGON,116
18,2017,Julio,ALVARO OBREGON,96
19,2017,Agosto,ALVARO OBREGON,118
20,2017,Septiembre,ALVARO OBREGON,78
21,2017,Octubre,ALVARO OBREGON,112
22,2017,Noviembre,ALVARO OBREGON,99
23,2017,Diciembre,ALVARO OBREGON,110
24,2018,Enero,ALVARO OBREGON,89
25,2018,Febrero,ALVARO OBREGON,120
26,2018,Marzo,ALVARO OBREGON,139
27,2018,Abril,ALVARO OBREGON,133
28,2018,Mayo,ALVARO OBREGON,106
29,2018,Junio,ALVARO OBREGON,127
30,2018,Julio,ALVARO OBREGON,139
31,2018,Agosto,ALVARO OBREGON,155
32,2018,Septiembre,ALVARO OBREGON,147
33,2018,Octubre,ALVARO OBREGON,123
34,2018,Noviembre,ALVARO OBREGON,142
35,2018,Diciembre,ALVARO OBREGON,123
36,2019,Enero,ALVARO OBREGON,143
37,2019,Febrero,ALVARO OBREGON,157
38,2019,Marzo,ALVARO OBREGON,178
39,2019,Abril,ALVARO OBREGON,181
40,2019,Mayo,ALVARO OBREGON,202
41,2019,Junio,ALVARO OBREGON,144
42,2019,Julio,ALVARO OBREGON,155
43,2019,Agosto,ALVARO OBREGON,192
44,2019,Septiembre,ALVARO OBREGON,181
45,2019,Octubre,ALVARO OBREGON,151
46,2019,Noviembre,ALVARO OBREGON,167
47,2019,Diciembre,ALVARO OBREGON,182
48,2020,Enero,ALVARO OBREGON,155
49,2020,Febrero,ALVARO OBREGON,183
50,2020,Marzo,ALVARO OBREGON,178
