,anio,alcaldia,numero_denuncias
0,2016,ALVARO OBREGON,1330
1,2016,AZCAPOTZALCO,794
2,2016,BENITO JUAREZ,729
3,2016,COYOACAN,1276
4,2016,CUAJIMALPA DE MORELOS,280
5,2016,CUAUHTEMOC,1521
6,2016,GUSTAVO A MADERO,1934
7,2016,IZTACALCO,1216
8,2016,IZTAPALAPA,3981
9,2016,LA MAGDALENA CONTRERAS,602
10,2016,MIGUEL HIDALGO,620
11,2016,MILPA ALTA,236
12,2016,TLAHUAC,744
13,2016,TLALPAN,1411
14,2016,VENUSTIANO CARRANZA,984
15,2016,XOCHIMILCO,900
16,2017,ALVARO OBREGON,1224
17,2017,AZCAPOTZALCO,824
18,2017,BENITO JUAREZ,763
19,2017,COYOACAN,1184
20,2017,CUAJIMALPA DE MORELOS,289
21,2017,CUAUHTEMOC,1400
22,2017,GUSTAVO A MADERO,2028
23,2017,IZTACALCO,1149
24,2017,IZTAPALAPA,3690
25,2017,LA MAGDALENA CONTRERAS,684
26,2017,MIGUEL HIDALGO,585
27,2017,MILPA ALTA,276
28,2017,TLAHUAC,798
29,2017,TLALPAN,1493
30,2017,VENUSTIANO CARRANZA,945
31,2017,XOCHIMILCO,1103
32,2018,ALVARO OBREGON,1543
33,2018,AZCAPOTZALCO,918
34,2018,BENITO JUAREZ,850
35,2018,COYOACAN,1345
36,2018,CUAJIMALPA DE MORELOS,372
37,2018,CUAUHTEMOC,1710
38,2018,GUSTAVO A MADERO,2106
39,2018,IZTACALCO,1260
40,2018,IZTAPALAPA,3361
41,2018,LA MAGDALENA CONTRERAS,833
42,2018,MIGUEL HIDALGO,582
43,2018,MILPA ALTA,344
44,2018,TLAHUAC,911
45,2018,TLALPAN,1602
46,2018,VENUSTIANO CARRANZA,1213
47,2018,XOCHIMILCO,983
48,2019,ALVARO OBREGON,2033
49,2019,AZCAPOTZALCO,1252
50,2019,BENITO JUAREZ,971
51,2019,COYOACAN,1621
52,2019,CUAJIMALPA DE MORELOS,551
53,2019,CUAUHTEMOC,2154
54,2019,GUSTAVO A MADERO,3088
55,2019,IZTACALCO,1543
56,2019,IZTAPALAPA,4636
57,2019,LA MAGDALENA CONTRERAS,901
58,2019,MIGUEL HIDALGO,900
59,2019,MILPA ALTA,413
60,2019,TLAHUAC,1068
61,2019,TLALPAN,1891
62,2019,VENUSTIANO CARRANZA,1570
63,2019,XOCHIMILCO,1184
64,2020,ALVARO OBREGON,775
65,2020,AZCAPOTZALCO,597
66,2020,BENITO JUAREZ,353
67,2020,COYOACAN,704
68,2020,CUAJIMALPA DE MORELOS,198
69,2020,CUAUHTEMOC,804
70,2020,GUSTAVO A MADERO,1421
71,2020,IZTACALCO,622
72,2020,IZTAPALAPA,1827
73,2020,LA MAGDALENA CONTRERAS,372
74,2020,MIGUEL HIDALGO,454
75,2020,MILPA ALTA,152
76,2020,TLAHUAC,472
77,2020,TLALPAN,707
78,2020,VENUSTIANO CARRANZA,641
79,2020,XOCHIMILCO,575
