,index,anio,mes,denuncias_mes
0,3,2016,Enero,1315
1,4,2016,Febrero,1533
2,7,2016,Marzo,1541
3,0,2016,Abril,1739
4,8,2016,Mayo,1844
5,6,2016,Junio,1780
6,5,2016,Julio,1434
7,1,2016,Agosto,1601
8,11,2016,Septiembre,1521
9,10,2016,Octubre,1532
10,9,2016,Noviembre,1334
11,2,2016,Diciembre,1384
12,15,2017,Enero,1387
13,16,2017,Febrero,1346
14,19,2017,Marzo,1584
15,12,2017,Abril,1511
16,20,2017,Mayo,1659
17,18,2017,Junio,1712
18,17,2017,Julio,1490
19,13,2017,Agosto,1697
20,23,2017,Septiembre,1561
21,22,2017,Octubre,1611
22,21,2017,Noviembre,1447
23,14,2017,Diciembre,1430
24,27,2018,Enero,1449
25,28,2018,Febrero,1532
26,31,2018,Marzo,1769
27,24,2018,Abril,1877
28,32,2018,Mayo,1892
29,30,2018,Junio,1655
30,29,2018,Julio,1745
31,25,2018,Agosto,1582
32,35,2018,Septiembre,1673
33,34,2018,Octubre,1676
34,33,2018,Noviembre,1570
35,26,2018,Diciembre,1513
36,39,2019,Enero,1609
37,40,2019,Febrero,1754
38,43,2019,Marzo,2205
39,36,2019,Abril,2171
40,44,2019,Mayo,2477
41,42,2019,Junio,2156
42,41,2019,Julio,2206
43,37,2019,Agosto,2402
44,47,2019,Septiembre,2315
45,46,2019,Octubre,2193
46,45,2019,Noviembre,2114
47,38,2019,Diciembre,2174
48,49,2020,Enero,2064
49,50,2020,Febrero,2482
50,51,2020,Marzo,2792
51,48,2020,Abril,1786
52,52,2020,Mayo,1550
